Item,Type,Quantity,Calories,Carbohydrate,Fat,Protein
vinegar,Publix Balsamic Vinegar, 1 Tablespoon,15,3g,0g,0g
vinegar,Fig. Vinegar, 1 tbs,40,3g,0g,0g
vinegar,Pomegranate Vinegar, 1 tbsp (15g),20,5g,0g,0g
sesame oil,Sesame Oil, 13.6 g,120,0g,14g,0g
sesame oil,Kadoya, 1 Tb,130,0g,14g,0g
Arhar dal,Dal, 1 cup,203,39g,1g,11g
Arhar dal,Arhar Dal - Meetu, 100 gm,343,63g,2g,22g
Arhar dal,KC, 1 cup,64,10g,2g,4g
lobster,Lobster, 1 crepe,250,22g,10g,16g
lobster,Red Lobster, 8 slices,780,63g,42g,38g
lobster,Lobster Bites, 3 balls,150,14g,9g,4g
Beef,corned beef, 4 oz,200,0g,15g,15g
Beef,Beef, 1 cup,348,0g,24g,32g
Beef,Beef, 150 g,170,0g,6g,29g
Pav bhaji masala,Badshah Pav Bhaji Masala, 10 gram,25,1g,0g,0g
Pav bhaji masala,Surya, 100 g,177,25g,3g,12g
Pav bhaji masala,Mdh, 5 g,19,2g,1g,1g
clarified butter,Butter, 1 TBS,130,0g,14g,0g
clarified butter,Trader Joe's clarified butter(ghee), 1 teaspoon,45,0g,5g,0g
clarified butter,Odell's, 1 tablespoon,130,0g,14g,0g
green cardamom,Test, 1 oz (28g),25,8g,1g,0g
green cardamom,Girnar, 1 sachet,0,0g,0g,0g
green cardamom,Elaichi, 1 gram,0,0g,0g,0g
bay leaf,1 tsp, crumbled,313,75g,8g,8g
bay leaf,Generic, 1 leaf,2,0g,0g,0g
bay leaf,bay leaf, 200 pint,1,1g,1g,1g
Pav,Wada Pav, 1 vada Pav (2 buns),270,37g,9g,8g
Pav,Pav Bhaji-W/O Pav, 1 cup,160,18g,9g,3g
Pav,Homemade, 150 g,160,18g,9g,3g
Milk,Milk, 100 ml,50,5g,2g,4g
Milk,D milk, 8 oz.,150,12g,8g,8g
Milk,Organic Milk, 8 oz,100,12g,3g,8g
Banana flower,Indian, 100 g,51,10g,1g,2g
Banana flower,Generic, 75 g,26,0g,0g,0g
Banana flower,Vietnamese, 1 cup cooked,120,9g,5g,5g
rice,Rice, 0.25 cup,199,29g,8g,3g
rice,rice, 100 g,171,31g,3g,4g
rice,Jasmine Rice, 45 g raw weight,160,36g,1g,3g
Pearl onions,Kroger, 85 gram,30,6g,0g,0g
Pearl onions,Whie Pearl, 0.5 Cup,35,8g,0g,1g
Pearl onions,Aladdin Food, 3 oz,36,6g,1g,1g
atta,Organic atta, 100 gm,356,64g,5g,15g
atta,Bikaji Atta Ladoo, 1 ladoo,241,28g,13g,2g
atta,grofer atta, 100 gram,357,76g,2g,10g
Sugar syrup,sugar free syrup, 0.25 cup,35,11g,0g,0g
Sugar syrup,Monin, 25 ml,84,21g,0g,0g
Sugar syrup,(M) Myprotein Sugar-free Syrup, 100 g,4,1g,0g,0g
Chana dal,Cooked Chana dal, 1 cup cooked,222,25g,10g,8g
Chana dal,Chana dal, 100 g,440,60g,19g,15g
Chana dal,Deep Chana Dal, 35 g,130,20g,2g,8g
mustard oil,Vegetable Oil, 1 Tbsp,126,0g,14g,0g
mustard oil,Nakoda Mustard Oil, 5 ml,900,0g,100g,0g
grated coconut,Grated coconut, 100 gram,354,15g,3g,3g
grated coconut,Coconut Raw, 100 gm,354,15g,33g,3g
grated coconut,Ancel, 2 Tablespoons (38g),140,23g,5g,0g
vegetable oil,Vegetable oil, 1 tbs,120,0g,14g,0g
vegetable oil,Oil, 1 gram,120,0g,14g,0g
potatoes,Russel potatoes, 1 cup,110,26g,0g,3g
potatoes,Russet Potatoes, 1 potato,110,26g,0g,3g
Basmati rice,Aldi Basmati Rice, 125 g,362,45g,2g,9g
Basmati rice,morrisons basmati rice, 100 gram,117,25g,0g,3g
Basmati rice,Carolina Basmati Rice, 0.25 cup,160,35g,0g,4g
eggs,Nice eggs, 1 egg (50g),70,0g,5g,6g
eggs,Dillons Eggs, 1 egg,70,0g,5g,6g
dried fruits,Mixed dried fruits, 1 cup,185,78g,0g,3g
dried fruits,Dried Fruits, 100 g,241,63g,1g,3g
dried fruits,Vacuum Dried Fruits, 1 cup,544,57g,34g,3g
badam,Badam, 1 almonds 25gm,7,0g,1g,0g
badam,badam, 1 ounce,164,0g,14g,6g
badam,Haldiram's Badam Halwa, 1 piece,139,27g,3g,2g
Glutinous rice,Steamed Glutinous Rice, 100 grams,97,21g,0g,2g
Glutinous rice,Lion Glutinous rice, 1 cup,196,40g,0g,3g
Glutinous rice,thai glutinous rice, 46 gram,160,37g,0g,3g
mint,Mentosrol Mint, 38 g,148,35g,1g,0g
mint,Mint Gelato, 0.5 cup,240,25g,14g,3g
mint,Herbalife, 2 scoops,90,13g,1g,9g
Gram flour,East End Gram Flour, 100 g,359,52g,5g,22g
Gram flour,Natco, 100 g,359,54g,6g,22g
Gram flour,Gram flour, 100 gram,351,48g,7g,19g
baking powder,Baking Powder, 1 tsp,5,0g,0g,0g
baking powder,Asda Baking Powder, 100 g,357,88g,1g,1g
milk,Organic Milk, 8 oz,100,12g,3g,8g
milk,Milk, 100 ml,50,5g,2g,4g
milk,D milk, 8 oz.,150,12g,8g,8g
chana dal,Cooked Chana dal, 1 cup cooked,222,25g,10g,8g
chana dal,Chana dal, 100 g,440,60g,19g,15g
chana dal,Deep Chana Dal, 35 g,130,20g,2g,8g
Yoghurt,Nutriday Yoghurt, 175 g,97,17g,2g,3g
Yoghurt,Yoghurt Bulgarian, 100 gms,62,42g,2g,3g
Yoghurt,Yoghurt, 100 ml,33,4g,0g,5g
mixed nuts,Unsalted mixed nuts, 1 Ounce,160,7g,14g,5g
mixed nuts,Mixed Nuts, 1 oz - 26 pieces,179,2g,16g,4g
mixed nuts,Nuts, Emerald Deluxe Mixed,170,6g,16g,5g
Apricots,Dried apricots, 5 total,100,24g,0g,1g
Apricots,Apricots, 40 g (1/4 cup)-Approx 5 pieces,100,24g,0g,1g
Apricots,Apricots, 40 g,120,29g,0g,1g
Sattu,swastik sattu, 100 gms,384,64g,6g,23g
Sattu,haldiram sattu, 100 gram,397,67g,5g,21g
Sattu,Patanjali sattu, 100 g,405,61g,6g,27g
potato,Potato, 1 medium,110,26g,0g,3g
potato,Idaho Potato, 5.3 oz,110,26g,0g,3g
Raw papaya,Papaya, 100 gm,43,11g,0g,0g
Raw papaya,Papaya, 100 g,39,10g,0g,1g
Raw papaya,Papaya, 1 cup,72,0g,0g,0g
Sweet potato,1 medium, 5 inch long,86,20g,0g,2g
Sweet potato,Sweet potato steamed, 100 grams,86,20g,0g,2g
Sweet potato,Microwave sweet potato, 4 oz,130,33g,0g,2g
garam masala powder,Garam Masala, 15 grams,46,9g,2g,2g
garam masala powder,Swad, 5 g,25,3g,1g,1g
garam masala powder,Mehran, 6 gram,19,3g,1g,1g
